"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4286","Ouvrir la page de sauce demo","chromium","2026-01-22","passed","2026-01-22","","firsttest.spec.ts","",""
"","4459","login invalid","firefox","2026-01-22","passed","2026-01-22","","login.spec.ts","",""
"","3227","login valid","chromium","2026-01-22","passed","2026-01-22","","loginpom.spec.ts","",""
"","1392","login invalid","firefox","2026-01-22","passed","2026-01-22","","loginpom.spec.ts","",""
"","1610","cartBtn pour naviguer aprés ajout","webkit","2026-01-22","passed","2026-01-22","","productpom.spec.ts","",""
"","2380","Ouvrir la page de sauce demo","firefox","2026-01-22","passed","2026-01-22","","firsttest.spec.ts","",""
"","703","cartBtn fonctionne quand le badge est présent pour vérifier","chromium","2026-01-22","passed","2026-01-22","","productpom.spec.ts","",""
"","736","Add to cart","chromium","2026-01-22","passed","2026-01-22","","product.spec.ts","",""
"","4405","login valid","chromium","2026-01-22","passed","2026-01-22","","login.spec.ts","",""
"","1008","login invalid","webkit","2026-01-22","passed","2026-01-22","","login.spec.ts","",""
"","9645","login_jdd","webkit","2026-01-22","passed","2026-01-22","","login.jdd.spec.ts","",""
"","1914","cartBtn pour naviguer aprés ajout","firefox","2026-01-22","passed","2026-01-22","","productpom.spec.ts","",""
"","1644","cartBtn fonctionne quand le badge est présent pour vérifier","webkit","2026-01-22","passed","2026-01-22","","productpom.spec.ts","",""
"","10415","login_jdd","chromium","2026-01-22","passed","2026-01-22","","login.jdd.spec.ts","",""
"","1932","cartBtn fonctionne quand le badge est présent pour vérifier","firefox","2026-01-22","passed","2026-01-22","","productpom.spec.ts","",""
"","4404","login invalid","chromium","2026-01-22","passed","2026-01-22","","login.spec.ts","",""
"","1860","login valid","webkit","2026-01-22","passed","2026-01-22","","login.spec.ts","",""
"","1426","Add to cart","webkit","2026-01-22","passed","2026-01-22","","product.spec.ts","",""
"","771","cartBtn pour naviguer aprés ajout","chromium","2026-01-22","passed","2026-01-22","","productpom.spec.ts","",""
"","1708","login valid","firefox","2026-01-22","passed","2026-01-22","","loginpom.spec.ts","",""
"","1751","Ouvrir la page de sauce demo","webkit","2026-01-22","passed","2026-01-22","","firsttest.spec.ts","",""
"","1204","login invalid","webkit","2026-01-22","passed","2026-01-22","","loginpom.spec.ts","",""
"","3364","Add to cart","firefox","2026-01-22","passed","2026-01-22","","product.spec.ts","",""
"","994","login valid","webkit","2026-01-22","passed","2026-01-22","","loginpom.spec.ts","",""
"","4435","login invalid","chromium","2026-01-22","passed","2026-01-22","","loginpom.spec.ts","",""
"","13442","login_jdd","firefox","2026-01-22","passed","2026-01-22","","login.jdd.spec.ts","",""
"","3516","login valid","firefox","2026-01-22","passed","2026-01-22","","login.spec.ts","",""
